Date,Open,High,Low,Close,Adj Close,Volume
2022-09-27,142.289993,143.770004,140.460007,141.020004,139.937531,10121000
2022-09-28,142.080002,146.440002,141.399994,145.779999,144.660980,8279800
2022-09-29,144.509995,145.410004,142.270004,144.770004,143.658737,8197600
2022-09-30,144.029999,145.139999,142.490005,143.669998,142.567184,9402700
2022-10-03,148.970001,152.339996,148.300003,151.729996,150.565308,9597400
2022-10-04,154.429993,157.880005,153.630005,157.630005,156.420029,9520200
2022-10-05,155.839996,159.729996,154.800003,158.529999,157.313110,10633100
2022-10-06,157.339996,161.940002,157.199997,161.419998,160.180923,9498300
2022-10-07,162.509995,163.929993,159.059998,160.029999,158.801605,9972500
2022-10-10,161.000000,161.470001,156.440002,157.139999,155.933777,5904500
2022-10-11,154.750000,159.929993,154.110001,157.169998,155.963547,7533300
2022-10-12,156.139999,158.809998,155.520004,157.639999,156.429947,4942000
2022-10-13,156.350006,165.990005,156.350006,165.279999,164.011292,10227500
2022-10-14,164.039993,165.460007,159.929993,160.139999,158.910751,7327900
2022-10-17,163.289993,164.910004,161.100006,161.309998,160.071777,5890400
2022-10-18,162.360001,163.309998,158.960007,162.720001,161.470947,5631200
2022-10-19,163.589996,169.210007,163.589996,168.000000,166.710419,9766800
2022-10-20,169.300003,171.820007,167.940002,168.960007,167.663055,8871500
2022-10-21,169.149994,173.839996,168.850006,173.190002,171.860580,7971300
2022-10-24,172.080002,174.669998,171.610001,173.130005,171.801041,7007700
2022-10-25,173.059998,175.000000,172.169998,174.929993,173.587219,7280600
2022-10-26,175.320007,178.479996,175.169998,177.089996,175.730637,6865300
2022-10-27,179.889999,181.399994,177.479996,177.899994,176.534424,9177400
2022-10-28,181.470001,182.860001,176.529999,179.979996,178.598465,10773900
2022-10-31,178.059998,183.839996,178.059998,180.899994,179.511398,13281000
2022-11-01,183.869995,184.500000,181.899994,182.220001,180.821274,9185600
2022-11-02,180.929993,182.899994,178.270004,178.500000,177.129822,8087500
2022-11-03,177.970001,182.190002,177.410004,181.130005,179.739639,6607800
2022-11-04,184.839996,185.399994,180.600006,183.419998,182.012054,7491900
2022-11-07,182.500000,186.380005,182.110001,185.610001,184.185242,7578000
2022-11-08,185.320007,186.250000,183.860001,185.339996,183.917313,6308200
2022-11-09,183.610001,183.809998,177.220001,177.929993,176.564194,8021700
2022-11-10,182.229996,182.330002,178.039993,181.300003,179.908325,6981500
2022-11-11,184.050003,187.100006,183.889999,186.460007,185.028732,8428300
2022-11-14,186.309998,189.679993,186.179993,186.550003,185.118027,9722400
2022-11-15,187.119995,188.440002,185.270004,188.050003,186.606522,7747300
2022-11-16,186.539993,187.820007,183.679993,184.990005,183.570007,7941100
2022-11-17,181.509995,184.229996,180.270004,184.089996,184.089996,6550500
2022-11-18,180.960007,183.410004,179.649994,182.990005,182.990005,7661500
2022-11-21,179.729996,181.699997,175.820007,181.240005,181.240005,8432900
2022-11-22,183.750000,186.559998,183.080002,185.889999,185.889999,9018000
2022-11-23,183.210007,185.149994,182.580002,184.240005,184.240005,5831200
2022-11-25,184.889999,185.300003,183.309998,183.699997,183.699997,2796400
2022-11-28,180.279999,181.470001,177.960007,178.360001,178.360001,9365500
2022-11-29,180.259995,181.850006,179.649994,181.029999,181.029999,6985400
2022-11-30,182.850006,183.339996,179.619995,183.309998,183.309998,10934900
2022-12-01,184.259995,184.550003,181.440002,182.490005,182.490005,5217400
2022-12-02,181.529999,183.630005,179.929993,181.029999,181.029999,6849400
2022-12-05,182.669998,182.949997,174.630005,176.559998,176.559998,8162200
2022-12-06,175.509995,178.059998,171.119995,172.009995,172.009995,8765000
2022-12-07,171.059998,174.580002,170.850006,172.520004,172.520004,6936300
2022-12-08,176.250000,176.399994,172.029999,173.539993,173.539993,8076600
2022-12-09,172.300003,173.190002,167.929993,168.000000,168.000000,10747200
2022-12-12,168.929993,170.520004,167.710007,169.750000,169.750000,9364900
2022-12-13,173.570007,174.460007,172.479996,173.529999,173.529999,7837800
2022-12-14,174.490005,174.919998,171.264999,174.009995,174.009995,2817252
